노선,항공사,좌석수,성인,유아,여객수,이용율
청주-제주,AAR,16182,14540,219,14759,89.9
청주-제주,EOK,16740,16309,144,16453,97.4
청주-제주,ESR,24336,22544,180,22724,92.6
청주-제주,JJA,25137,23939,231,24170,95.2
청주-제주,JNA,29238,27991,269,28260,95.7
청주-제주,KAL,17140,15694,215,15909,91.6
청주-제주,TWB,22869,21184,252,21436,92.6
제주-무안,JJA,3213,2277,23,2300,70.9
제주-무안,JNA,1701,1623,27,1650,95.4
무안-제주,JJA,3213,2448,30,2478,76.2
무안-제주,JNA,1701,1313,17,1330,77.2
제주-광주,AAR,21576,18810,180,18990,87.2
제주-광주,JJA,11718,11172,72,11244,95.3
제주-광주,JNA,20004,18523,177,18700,92.6
제주-광주,KAL,18096,14324,161,14485,79.2
제주-광주,TWB,23436,22220,194,22414,94.8
광주-제주,AAR,21576,18493,202,18695,85.7
광주-제주,JJA,11718,11069,96,11165,94.5
광주-제주,JNA,20004,16931,83,17014,84.6
광주-제주,KAL,18096,14324,161,14485,79.2
광주-제주,TWB,23436,20962,161,21123,89.4
제주-여수,AAR,10788,8188,85,8273,75.9
제주-여수,JNA,5859,5503,50,5553,93.9
제주-여수,KAL,4340,3385,46,3431,78
여수-제주,AAR,10788,7787,77,7864,72.2
여수-제주,JNA,5859,5313,44,5357,90.7
여수-제주,KAL,4340,3349,49,3398,77.2
제주-울산 ,JNA,5859,4488,68,4556,76.6
제주-울산 ,KAL,4200,3754,62,3816,89.4
울산-제주,JNA,5859,5316,89,5405,90.7
울산-제주,KAL,4200,3232,32,3264,77
제주-사천,KAL,2444,2077,28,2105,85
사천-제주,KAL,2444,1938,35,1973,79.3
제주-포항경주,JNA,11718,9340,98,9438,79.7
포항경주-제주,JNA,11529,8647,87,8734,75
제주-군산,ESR,11652,10318,112,10430,88.6
제주-군산,JNA,5859,5079,57,5136,86.7
군산-제주,ESR,11652,9802,92,9894,84.1
군산-제주,JNA,5859,5272,55,5327,90
제주-원주,JNA,11718,9971,125,10096,85.1
원주-제주,JNA,11718,9536,122,9658,81.4
